,Product Brand,Product Name,Current Price,Old Price,Rating,Product URL
0,kate spade new york,"Disney | Macy's Minnie Mouse Medium Market Tote, Created for Macy's",EUR 290.99,None,Rated 5 stars with 2 reviews,https://www.macys.com/shop/product/disney-macys-minnie-mouse-medium-market-tote-created-for-macys?ID=17548403
1,kate spade new york,"Disney | Macy's Minnie Mouse Medium Market Tote, Created for Macy's",EUR 290.99,None,Rated 5 stars with 2 reviews,https://www.macys.com/shop/product/disney-macys-minnie-mouse-medium-market-tote-created-for-macys?ID=17548403
2,Stoney Clover Lane,"Disney | Macy's Thanksgiving Day Parade Small Pouch, Created for Macy's",EUR 95.70,None,None,https://www.macys.com/shop/product/disney-macys-thanksgiving-day-parade-small-pouch-created-for-macys?ID=18507041
3,Stoney Clover Lane,"Disney | Macy's Thanksgiving Day Parade Small Pouch, Created for Macy's",EUR 95.70,None,None,https://www.macys.com/shop/product/disney-macys-thanksgiving-day-parade-small-pouch-created-for-macys?ID=18507041
4,Brahmin,Duxbury Satchel HappyHour Melbourne Large Leather Satchel,Sale  EUR 235.82, EUR 336.89 ,Rated 4.8983 stars with 59 reviews,https://www.macys.com/shop/product/brahmin-duxbury-satchel-happyhour-melbourne-large-leather-satchel?ID=20364811
5,Brahmin,Duxbury Satchel HappyHour Melbourne Large Leather Satchel,Sale  EUR 235.82, EUR 336.89 ,Rated 4.8983 stars with 59 reviews,https://www.macys.com/shop/product/brahmin-duxbury-satchel-happyhour-melbourne-large-leather-satchel?ID=20364811
6,Sam Edelman,NEW! Christy Woven Medium Shoulder Bag  ,EUR 219.71,None,None,https://www.macys.com/shop/product/sam-edelman-christy-woven-medium-shoulder-bag?ID=19227651
7,Sam Edelman,NEW! Christy Woven Medium Shoulder Bag  ,EUR 219.71,None,None,https://www.macys.com/shop/product/sam-edelman-christy-woven-medium-shoulder-bag?ID=19227651
8,MICHAEL Michael Kors,Michael Kors Women's Logo belt bag with stripe,Sale  EUR 39.05, EUR 68.34 ,None,https://www.macys.com/shop/product/michael-kors-womens-logo-belt-bag-with-stripe?ID=19570406
9,MICHAEL Michael Kors,Michael Kors Women's Logo belt bag with stripe,Sale  EUR 39.05, EUR 68.34 ,None,https://www.macys.com/shop/product/michael-kors-womens-logo-belt-bag-with-stripe?ID=19570406
10,Brahmin,Duxbury Leather Satchel,EUR 288.06  -,None,Rated 4.9151 stars with 271 reviews,https://www.macys.com/shop/product/brahmin-duxbury-leather-satchel?ID=17350153
11,Brahmin,Duxbury Leather Satchel,EUR 288.06  -,None,Rated 4.9151 stars with 271 reviews,https://www.macys.com/shop/product/brahmin-duxbury-leather-satchel?ID=17350153
12,Brahmin,Duxbury Melbourne Satchel,Sale  EUR 215.32, EUR 307.59 ,Rated 4.896 stars with 173 reviews,https://www.macys.com/shop/product/brahmin-duxbury-melbourne-satchel?ID=20364802
13,Brahmin,Duxbury Melbourne Satchel,Sale  EUR 215.32, EUR 307.59 ,Rated 4.896 stars with 173 reviews,https://www.macys.com/shop/product/brahmin-duxbury-melbourne-satchel?ID=20364802
14,Donna Karan New York,Donna Karan Roslyn Top Handle Satchel,Now  EUR 233.19, EUR 388.64 ,Rated 5 stars with 5 reviews,https://www.macys.com/shop/product/donna-karan-roslyn-top-handle-satchel?ID=17850800
15,Donna Karan New York,Donna Karan Roslyn Top Handle Satchel,Now  EUR 233.19, EUR 388.64 ,Rated 5 stars with 5 reviews,https://www.macys.com/shop/product/donna-karan-roslyn-top-handle-satchel?ID=17850800
16,Charter Club,"Ribbed 100% Cashmere Scarf, Created for Macy's",Sale  EUR 39.05, EUR 105.95 ,Rated 4.0422 stars with 166 reviews,https://www.macys.com/shop/product/charter-club-ribbed-100-cashmere-scarf-created-for-macys?ID=14078417
17,Charter Club,"Ribbed 100% Cashmere Scarf, Created for Macy's",Sale  EUR 39.05, EUR 105.95 ,Rated 4.0422 stars with 166 reviews,https://www.macys.com/shop/product/charter-club-ribbed-100-cashmere-scarf-created-for-macys?ID=14078417
18,Donna Karan New York,Donna Karan Oceanside Top Handle Leather Satchel,Now  EUR 262.48, EUR 437.47 ,None,https://www.macys.com/shop/product/donna-karan-oceanside-top-handle-leather-satchel?ID=19161037
19,Donna Karan New York,Donna Karan Oceanside Top Handle Leather Satchel,Now  EUR 262.48, EUR 437.47 ,None,https://www.macys.com/shop/product/donna-karan-oceanside-top-handle-leather-satchel?ID=19161037
20,Patricia Nash,"Betta Medium Leather Crossbody, Created for Macy's ",Sale  EUR 97.16, EUR 194.32 ,Rated 4.5098 stars with 51 reviews,https://www.macys.com/shop/product/patricia-nash-betta-medium-leather-crossbody-created-for-macys?ID=18007793
21,Patricia Nash,"Betta Medium Leather Crossbody, Created for Macy's ",Sale  EUR 97.16, EUR 194.32 ,Rated 4.5098 stars with 51 reviews,https://www.macys.com/shop/product/patricia-nash-betta-medium-leather-crossbody-created-for-macys?ID=18007793
22,Brahmin,Duxbury Melbourne Satchel,EUR 307.59,None,Rated 4.8908 stars with 174 reviews,https://www.macys.com/shop/product/brahmin-duxbury-melbourne-satchel?ID=18159854
23,Brahmin,Duxbury Melbourne Satchel,EUR 307.59,None,Rated 4.8908 stars with 174 reviews,https://www.macys.com/shop/product/brahmin-duxbury-melbourne-satchel?ID=18159854
