,Product Brand,Product Name,Current Price,Old Price,Rating,Product URL
0, Cole Haan,Leather Cashmere Blend Lined Basic Tech Tip Gloves,Now  EUR 73.30,EUR 97.73,3.5672,https://www.macys.com/shop/product/cole-haan-leather-cashmere-blend-lined-basic-tech-tip-gloves?ID=18734333
1, Charter Club,"Ribbed 100% Cashmere Scarf, Created for Macy's",Sale  EUR 43.28,EUR 108.21,4.0848,https://www.macys.com/shop/product/charter-club-ribbed-100-cashmere-scarf-created-for-macys?ID=14078417
2, I.N.C. International Concepts,"Doris Sparkle Mesh Pouch, Created for Macy's",Sale  EUR 35.67,EUR 79.28,4.6644,https://www.macys.com/shop/product/i.n.c.-international-concepts-doris-sparkle-mesh-pouch-created-for-macys?ID=8331994
3, I.N.C. International Concepts,"Casual Solid Belt, Created for Macy's",Sale  EUR 17.20,EUR 34.41,3.8558,https://www.macys.com/shop/product/i.n.c.-international-concepts-casual-solid-belt-created-for-macys?ID=5711171
4, Charter Club,"100% Cashmere Oversized Scarf, Created for Macy's",Now  EUR 94.24,EUR 188.49,4.5622,https://www.macys.com/shop/product/charter-club-100-cashmere-oversized-scarf-created-for-macys?ID=7425958
5, Cole Haan,Women's Faux-Fur-Lined Leather Gloves,Now  EUR 73.30,EUR 97.73,4.4783,https://www.macys.com/shop/product/cole-haan-womens-faux-fur-lined-leather-gloves?ID=18636021
6, Style & Co,"Fringe Detail Solid Soft Wrap, Created for Macy's",Sale  EUR 7.48,EUR 24.93,4.2424,https://www.macys.com/shop/product/style-co-fringe-detail-solid-soft-wrap-created-for-macys?ID=18678136
7, Charter Club,"100% Cashmere Cuffed Beanie, Created for Macys",Sale  EUR 31.71,EUR 79.28,3.5897,https://www.macys.com/shop/product/charter-club-100-cashmere-cuffed-beanie-created-for-macys?ID=14078414
8, I.N.C. International Concepts,"Double Circle Belt, Created for Macy's",Sale  EUR 19.20,EUR 38.40,4.3874,https://www.macys.com/shop/product/i.n.c.-international-concepts-double-circle-belt-created-for-macys?ID=5711167
9, I.N.C. International Concepts,"Interlocking-Hook Stretch Belt, Created for Macy's",Sale  EUR 18.20,EUR 36.40,4.512,https://www.macys.com/shop/product/i.n.c.-international-concepts-interlocking-hook-stretch-belt-created-for-macys?ID=5711174
