,Product Brand,Product Name,Current Price,Old Price,Rating,Product URL,Product Description
0,Charter Club,"Women's Packable Hooded Puffer Coat, Created for Macy's",Sale  EUR 49.47, EUR 123.70 ,Rated 4.3076 stars with 2087 reviews,https://www.macys.com/shop/product/charter-club-womens-packable-hooded-puffer-coat-created-for-macys?ID=18237239, Product Features LinedLong sleevesPackable into bagStand collar with zip-off hood; front zip closureTwo side zip pockets; two inner open pocketsWater resistantImportedCreated for Macy's
1,Charter Club,"Women's Packable Hooded Puffer Coat, Created for Macy's",Sale  EUR 49.47, EUR 123.70 ,Rated 4.3076 stars with 2087 reviews,https://www.macys.com/shop/product/charter-club-womens-packable-hooded-puffer-coat-created-for-macys?ID=18237239, Product Features LinedLong sleevesPackable into bagStand collar with zip-off hood; front zip closureTwo side zip pockets; two inner open pocketsWater resistantImportedCreated for Macy's
2,Charter Club,"Women's Packable Hooded Puffer Coat, Created for Macy's",Sale  EUR 49.47, EUR 123.70 ,Rated 4.3076 stars with 2087 reviews,https://www.macys.com/shop/product/charter-club-womens-packable-hooded-puffer-coat-created-for-macys?ID=18237239, Product Features LinedLong sleevesPackable into bagStand collar with zip-off hood; front zip closureTwo side zip pockets; two inner open pocketsWater resistantImportedCreated for Macy's
3,Charter Club,"Women's Packable Hooded Puffer Coat, Created for Macy's",Sale  EUR 49.47, EUR 123.70 ,Rated 4.3076 stars with 2087 reviews,https://www.macys.com/shop/product/charter-club-womens-packable-hooded-puffer-coat-created-for-macys?ID=18237239, Product Features LinedLong sleevesPackable into bagStand collar with zip-off hood; front zip closureTwo side zip pockets; two inner open pocketsWater resistantImportedCreated for Macy's
4,Charter Club,"Women's Packable Hooded Puffer Coat, Created for Macy's",Sale  EUR 59.37, EUR 163.29 ,Rated 4.2715 stars with 1116 reviews,https://www.macys.com/shop/product/charter-club-womens-packable-hooded-puffer-coat-created-for-macys?ID=18237242, Product Features LinedWater resistantCreated for Macy'sTwo side zip pockets; two inner open pocketsStand collar with zip-off hood; front zip closurePackable into bagLong sleevesImported
5,Charter Club,"Women's Packable Hooded Puffer Coat, Created for Macy's",Sale  EUR 59.37, EUR 163.29 ,Rated 4.2715 stars with 1116 reviews,https://www.macys.com/shop/product/charter-club-womens-packable-hooded-puffer-coat-created-for-macys?ID=18237242, Product Features LinedWater resistantCreated for Macy'sTwo side zip pockets; two inner open pocketsStand collar with zip-off hood; front zip closurePackable into bagLong sleevesImported
6,Charter Club,"Women's Packable Hooded Puffer Coat, Created for Macy's",Sale  EUR 59.37, EUR 163.29 ,Rated 4.2715 stars with 1116 reviews,https://www.macys.com/shop/product/charter-club-womens-packable-hooded-puffer-coat-created-for-macys?ID=18237242, Product Features LinedWater resistantCreated for Macy'sTwo side zip pockets; two inner open pocketsStand collar with zip-off hood; front zip closurePackable into bagLong sleevesImported
7,Charter Club,"Women's Packable Hooded Puffer Coat, Created for Macy's",Sale  EUR 59.37, EUR 163.29 ,Rated 4.2715 stars with 1116 reviews,https://www.macys.com/shop/product/charter-club-womens-packable-hooded-puffer-coat-created-for-macys?ID=18237242, Product Features LinedWater resistantCreated for Macy'sTwo side zip pockets; two inner open pocketsStand collar with zip-off hood; front zip closurePackable into bagLong sleevesImported
8,I.N.C. International Concepts,"Women's Solid Belted Wool Coat, Created for Macy's",Sale  EUR 98.71, EUR 197.43 ,Rated 4.3784 stars with 37 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-womens-solid-belted-wool-coat-created-for-macys?ID=16513018, Product Features Long sleevesSlanted pockets at sideImportedLinedNotched collar; snap closure at frontRemovable belt
9,I.N.C. International Concepts,"Women's Solid Belted Wool Coat, Created for Macy's",Sale  EUR 98.71, EUR 197.43 ,Rated 4.3784 stars with 37 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-womens-solid-belted-wool-coat-created-for-macys?ID=16513018, Product Features Long sleevesSlanted pockets at sideImportedLinedNotched collar; snap closure at frontRemovable belt
