,Repository,Description,Stars,Forks,Language
0,2dust / v2rayN,"A GUI client for Windows and Linux, support Xray core and others","70,293","11,593",C#
1,EbookFoundation / free-programming-books,📚 Freely available programming books,"339,608","61,800",HTML
2,jesseduffield / lazydocker,The lazier way to manage everything docker,"37,989","1,210",Go
3,bluesky-social / social-app,"The Bluesky Social application for Web, iOS, and Android","12,666","1,616",TypeScript
4,abi / screenshot-to-code,Drop in a screenshot and convert it to clean code (HTML/Tailwind/React/Vue),"61,478","7,515",Python
5,termux / termux-app,Termux - a terminal emulator application for Android OS extendible by variety of packages.,"36,782","3,861",Java
6,black-forest-labs / flux,Official inference repo for FLUX.1 models,"17,564","1,243",Python
7,OpenInterpreter / open-interpreter,A natural language interface for computers,"55,990","4,849",Python
8,public-apis / public-apis,A collective list of free APIs,"318,503","33,925",Python
9,gitroomhq / postiz-app,"📨 The ultimate social media scheduling tool, with a bunch of AI 🤖","11,568","2,335",TypeScript
10,bluesky-social / atproto,Social networking technology created by Bluesky,"7,212",511,TypeScript
11,FortAwesome / Font-Awesome,"The iconic SVG, font, and CSS toolkit","74,189","12,203",JavaScript
12,shader-slang / slang,Making it easier to work with shaders,"2,911",210,C++
